Благовещенск-Уфа (Гимназия им.Гарипова);104с;503
Дюртюли - Нефтекамск;674;17
Зилаир - Сибай ч/з Юлдыбаево;792;87
Калтасы - Уфа;564;58
Кумертау-Тимербаево;109;22
Мелеуз-В.Биккузино;242;112
Нефтекамск-Калегино;121;73
Нефтекамск-Н. Березовка;101;34968
Нефтекамск-Н. Буртюк;105;13
сан. Красноусольск - Салават;698;25
Сибай- Старый Сибай;11;11228
Стерлитамак - Утяково;154;50
Стерлитамак АВ-Наумкино - Толбазы АС;510;6
Стерлитамак АВ-Стерлибашево АС - Булаж;185;32
Уфа - Салават через Ишимбай;551И;59
Уфа (К.Рынок)-В.Изяк;105;233
Уфа (К.Рынок)-Иглино;165;4147
Уфа (К.Рынок)-Ст.Черкассы;111;1311
Уфа (Южный автовокзал) - Нижегородка;164;1591
Уфа (Южный автовокзал) - Таптыково;164 Т;1467
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;5064
Уфа южный АВ - Бузовьязы;129;80
