П 101 И Салават - Ишимбай;<;18:21:07.3266667;П 101 И Салават - Ишимбай;43;>;0;18:10:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;19:21:07.3266667;П 101 И Салават - Ишимбай;43;>;0;19:10:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;11:30:49.9966667;П 101 И Салават - Ишимбай;43;<;0;11:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;19:20:49.9966667;П 101 И Салават - Ишимбай;43;<;0;19:10:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Кумертау - Мелеуз;<;08:41:59.7200000;П 101 Кумертау - Мелеуз;43;>;0;08:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Кумертау - Мелеуз;>;08:41:59.7200000;П 101 Кумертау - Мелеуз;43;<;0;08:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;08:14:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;08:02:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;08:52:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;08:39:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;08:52:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;08:52:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;11:27:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;11:10:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;11:27:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;11:24:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;11:47:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;11:39:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;12:16:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;12:13:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
