Караидель - Нефтекамск;968;18.420000;28.950000;52.630000;0.000000
Туймазы - Уфа через Кандры;595;33.550000;46.710000;19.740000;0.000000
Янаул-Калтасы;102;93.710000;6.290000;0.000000;0.000000
Уфа - Кандры;737;44.370000;0.000000;55.630000;0.000000
Уфа - Валентиновка;592;20.570000;26.950000;40.430000;12.060000
Стерлитамак - Семенкино;115;0.000000;100.000000;0.000000;0.000000
Уфа -Стерлитамак;531;18.180000;65.910000;15.910000;0.000000
Уфа - Аскино ч/з Зап. развилку;567;100.000000;0.000000;0.000000;0.000000
Баймак - Акъяр ч/з Юлдыбаево;939;55.380000;44.620000;0.000000;0.000000
Бирск-Мишкино;120;46.150000;38.460000;15.380000;0.000000
Приютово - Стерлитамак;623;0.000000;80.770000;19.230000;0.000000
Янаул-Кр. Холм;109;0.000000;59.690000;40.310000;0.000000
"""Уфа - Сады """"Факел""""""";111 к;65.630000;0.000000;34.380000;0.000000
Верхнеяркеево - Нефтекамск;762;29.840000;60.480000;8.870000;0.810000
"""Уфа - с/х """"Шемяк""""""";109;48.390000;0.000000;49.460000;2.150000
Уфа - Учалы;593;48.760000;22.310000;28.930000;0.000000
Октябрьский- Серафимовский;12;8.400000;54.620000;36.970000;0.000000
Белорецк- Миндяк;109;38.980000;61.020000;0.000000;0.000000
Верхнеяркеево - Туймазы;917;25.640000;51.280000;23.080000;0.000000
Нефтекамск-Куяново;102;33.330000;65.810000;0.000000;0.850000
Уфа - Белебей;530;30.770000;31.620000;37.610000;0.000000
Нефтекамск-Саузбашево;110;0.000000;0.000000;100.000000;0.000000
Дюртюли-Бирск (переправа);115;39.660000;56.030000;4.310000;0.000000
Стерлитамак-Красноусольск АС;282;34.480000;49.140000;15.520000;0.860000
Уфа (К.Рынок)-В.Изяк;105;68.420000;0.000000;31.580000;0.000000
Белорецк - Учалы;805;0.000000;37.500000;62.500000;0.000000
Кутлугуза-Стерлитамак;116;0.000000;50.910000;49.090000;0.000000
Уфа - Бураево ч/з Зап. развилку;594;0.000000;100.000000;0.000000;0.000000
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;0.000000;68.220000;31.780000;0.000000
Салават-Сухаревка;106;1.890000;34.910000;63.210000;0.000000
