П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(прямое);5099;16:45 - 20:00;10;;16:46;;19:46;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(прямое);5099;19:45 - 20:30;20;;19:46;;20:16;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(прямое);5087;06:15 - 07:30;20;;06:25;;07:25;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(прямое);5087;07:15 - 10:30;10;;07:25;;10:25;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(прямое);5087;10:15 - 17:00;20;;10:25;;16:55;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(прямое);5087;16:45 - 20:00;10;;16:55;;19:55;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(прямое);5087;19:45 - 20:30;20;;19:55;;20:25;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Наумовка 1(прямое);5120;06:30 - 07:45;20;;06:31;;07:31;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Наумовка 1(прямое);5120;07:30 - 10:45;10;;07:31;;10:31;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Наумовка 1(прямое);5120;10:30 - 17:15;20;;10:31;;17:01;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Наумовка 1(прямое);5120;17:00 - 20:15;10;;17:01;;20:01;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Наумовка 1(прямое);5120;20:00 - 20:45;20;;20:01;;20:31;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Покровка (обратное);5145;06:30 - 07:45;20;;06:37;;07:37;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Покровка (обратное);5145;07:30 - 10:45;10;;07:37;;10:37;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Покровка (обратное);5145;10:30 - 17:15;20;;10:37;;17:07;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Покровка (обратное);5145;17:00 - 20:15;10;;17:07;;20:07;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Покровка (обратное);5145;20:00 - 20:45;20;;20:07;;20:37;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;6 совхоз (прямое);5073;06:30 - 07:45;20;;06:44;;07:44;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;6 совхоз (прямое);5073;07:30 - 10:45;10;;07:44;;10:44;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;6 совхоз (прямое);5073;10:30 - 17:15;20;;10:44;;17:14;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;6 совхоз (прямое);5073;17:00 - 20:15;10;;17:14;;20:14;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;6 совхоз (прямое);5073;20:00 - 20:45;20;;20:14;;20:44;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Колхозный рынок АС МГ;5102;06:45 - 08:00;20;;06:55;;07:55;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Колхозный рынок АС МГ;5102;07:45 - 11:00;10;;07:55;;10:55;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Колхозный рынок АС МГ;5102;10:45 - 17:30;20;;10:55;;17:25;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Колхозный рынок АС МГ;5102;17:15 - 20:30;10;;17:25;;20:25;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Колхозный рынок АС МГ;5102;20:15 - 21:00;20;;20:25;;20:55;
П 107 Уфа - Суровка ПН-ПТ;Сады (для 107 м-та);5886;06:00 - 07:00;;15;;06:00;;07:00
П 107 Уфа - Суровка ПН-ПТ;Сады (для 107 м-та);5886;07:00 - 10:00;;10;;07:00;;10:00
П 107 Уфа - Суровка ПН-ПТ;Сады (для 107 м-та);5886;10:00 - 16:30;;15;;10:00;;16:30
П 107 Уфа - Суровка ПН-ПТ;Сады (для 107 м-та);5886;16:30 - 19:30;;10;;16:30;;19:30
П 107 Уфа - Суровка ПН-ПТ;Сады (для 107 м-та);5886;19:30 - 21:00;;15;;19:30;;21:00
П 107 Уфа - Суровка ПН-ПТ;Суровка;5914;06:00 - 07:15;;15;;06:05;;07:05
П 107 Уфа - Суровка ПН-ПТ;Суровка;5914;07:00 - 10:15;;10;;07:05;;10:05
П 107 Уфа - Суровка ПН-ПТ;Суровка;5914;10:00 - 16:45;;15;;10:05;;16:35
П 107 Уфа - Суровка ПН-ПТ;Суровка;5914;16:30 - 19:45;;10;;16:35;;19:35
П 107 Уфа - Суровка ПН-ПТ;Суровка;5914;19:30 - 21:15;;15;;19:35;;21:05
П 107 Уфа - Суровка ПН-ПТ;перек. Михайловка (в ст. города)/ перек. Михайловка (в ст. д. Суровка);5774;06:00 - 07:15;;15;;06:14;;07:14
П 107 Уфа - Суровка ПН-ПТ;перек. Михайловка (в ст. города)/ перек. Михайловка (в ст. д. Суровка);5774;07:00 - 10:15;;10;;07:14;;10:14
П 107 Уфа - Суровка ПН-ПТ;перек. Михайловка (в ст. города)/ перек. Михайловка (в ст. д. Суровка);5774;10:00 - 16:45;;15;;10:14;;16:44
П 107 Уфа - Суровка ПН-ПТ;перек. Михайловка (в ст. города)/ перек. Михайловка (в ст. д. Суровка);5774;16:30 - 19:45;;10;;16:44;;19:44
П 107 Уфа - Суровка ПН-ПТ;перек. Михайловка (в ст. города)/ перек. Михайловка (в ст. д. Суровка);5774;19:30 - 21:15;;15;;19:44;;21:14
П 107 Уфа - Суровка ПН-ПТ;"""Рынок """"Зареченский""""""";449;06:15 - 07:30;;15;;06:22;;07:22
П 107 Уфа - Суровка ПН-ПТ;"""Рынок """"Зареченский""""""";449;07:15 - 10:30;;10;;07:22;;10:22
П 107 Уфа - Суровка ПН-ПТ;"""Рынок """"Зареченский""""""";449;10:15 - 17:00;;15;;10:22;;16:52
П 107 Уфа - Суровка ПН-ПТ;"""Рынок """"Зареченский""""""";449;16:45 - 20:00;;10;;16:52;;19:52
П 107 Уфа - Суровка ПН-ПТ;"""Рынок """"Зареченский""""""";449;19:45 - 21:30;;15;;19:52;;21:22
П 107 Уфа - Суровка ПН-ПТ;Ул. Ахметова;627;06:15 - 07:30;;15;;06:25;;07:25
П 107 Уфа - Суровка ПН-ПТ;Ул. Ахметова;627;07:15 - 10:30;;10;;07:25;;10:25
П 107 Уфа - Суровка ПН-ПТ;Ул. Ахметова;627;10:15 - 17:00;;15;;10:25;;16:55
П 107 Уфа - Суровка ПН-ПТ;Ул. Ахметова;627;16:45 - 20:00;;10;;16:55;;19:55
П 107 Уфа - Суровка ПН-ПТ;Ул. Ахметова;627;19:45 - 21:30;;15;;19:55;;21:25
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1045;06:30 - 07:45;;15;;06:41;;07:41
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1045;07:30 - 10:45;;10;;07:41;;10:41
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1045;10:30 - 17:15;;15;;10:41;;17:11
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1045;17:00 - 20:15;;10;;17:11;;20:11
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1045;20:00 - 21:45;;15;;20:11;;21:41
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;06:30 - 07:45;;15;;06:43;;07:43
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;07:30 - 10:45;;10;;07:43;;10:43
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;10:30 - 17:15;;15;;10:43;;17:13
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;17:00 - 20:15;;10;;17:13;;20:13
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;20:00 - 21:45;;15;;20:13;;21:43
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;06:00 - 07:00;15;;06:00;;07:00;
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;07:00 - 10:00;10;;07:00;;10:00;
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;10:00 - 16:30;15;;10:00;;16:30;
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;16:30 - 19:30;10;;16:30;;19:30;
П 107 Уфа - Суровка ПН-ПТ;"""Фирма """"Мир""""""";988;19:30 - 21:00;15;;19:30;;21:00;
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1042;06:00 - 07:15;15;;06:02;;07:02;
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1042;07:00 - 10:15;10;;07:02;;10:02;
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1042;10:00 - 16:45;15;;10:02;;16:32;
П 107 Уфа - Суровка ПН-ПТ;Южный автовокзал;1042;16:30 - 19:45;10;;16:32;;19:32;
