68;229;108;Нефтекамск-Ст.Уразаево с/о;8,96087001701454
69;231;114;Нефтекамск-Янаул;32,65596779111
70;86;619;Октябрьский - Белебей;68,1855724316017
71;87;621;Октябрьский - Ермекеево;39,8856960826128
72;88;626;Октябрьский - Нефтекамск;165,030107289901
73;112;822;Октябрьский - Стерлитамак через Туймазы;129,859838081841
74;236;106;Октябрьский - Туймазы ч/з Нарышево;20,7429286408758
75;136;600;Октябрьский - Уфа экспресс;177,525871745665
76;127;12;Октябрьский- Серафимовский;28,193000793457
77;158;106;Октябрьский-Туймазы;11,0758899769546
78;238;113;Октябрьский-Шахово;29,4691343878985
79;242;116;Петровск (Петровское)-Стерлитамак;35,8249002194872
80;243;103;Петровск-Макарово-Стерлитамак;34,3010810453092
81;100;717;Приютово - Октябрьский;48,1560622167542
82;142;623;Приютово - Стерлитамак;89,1705692765341
83;244;130;Русский Юрмаш - Уфа (Южный автовокзал);20,2588073995378
84;103;741;Саит-Баба-Уфа;103,757320816768
85;139;101;Салават АВ- Стерлитамак АВ;28,9799215420681
86;141;101 и;Салават-Ишимбай;14,6689715987571
87;140;102;Салават-Мелеуз;35,3173537846259
88;126;106;Салават-Сухаревка;21,7165177533036
89;132;552С;сан. Красноусольск - Уфа;138,130920376323
90;250;282 к;сан. Красноусольск-Стерлитамак ч/з рынок;58,9098388902633
91;122;105;Семилетка-В.Яркеево;34,8707168102264
92;71;750;Сибай - Акъяр ч/з Подольск;71,9870638681709
93;102;738;Сибай - Кумертау;128,944528294706
94;116;918;Сибай - Стерлитамак;130,940276071143
95;10;113;Сибай-Баймак;35,5482773759938
96;133;522;Сибай-Исяново;64,7239990234375
97;256;114;Сибай-Кусеево;24,7849197788339
98;262;281;Стерлитамак - Золотоношка;38,518381759038
99;263;122;Стерлитамак - Кармаскалы;15,4074545610718
100;265;298;Стерлитамак - Максимовка - Алга;42,7803868845964
101;7;106;Стерлитамак - Мебельный;23,9908038342937
102;267;290;Стерлитамак - Наумкино;23,7236340774083
103;268;111;Стерлитамак - с/х Рощинский;3,41318715901123
104;283;110-2;Стерлитамак - Сады Аэропорт 2;23,2807299407602
105;284;115;Стерлитамак - Семенкино;19,2560107766445
106;287;117;Стерлитамак - Шеверли;29,0914435005832
107;288;119;Стерлитамак - Янгискаин;36,8176589599384
108;289;109;Стерлитамак (кол. Рынок) - Наумовка;14,3903576129224
109;290;113;Стерлитамак АВ - Талачево;16,3442481966471
110;292;119 Т;Стерлитамак АВ - Янгискаин;46,9184943795204
111;30;210;Стерлитамак АВ-д. Северная;34,7793881363339
112;26;190;Стерлитамак АВ-Зилим-Караново;72,1928127355743
113;28;201;Стерлитамак АВ-Кабакуш;51,4214439178381
114;31;220;Стерлитамак АВ-Коварды;84,3692280220263
115;NULL;250;Стерлитамак АВ-Красноармейский;NULL
116;13;116;Стерлитамак АВ-Месели-Манеево;31,071976090772
117;29;205;Стерлитамак АВ-Мраково;30,1371982121232
118;35;240;Стерлитамак АВ-Саитбаба;86,4955318615001
119;43;500;Стерлитамак АВ-Салихово ч/з Канакаево;32,2290235845054
120;41;282;Стерлитамак АВ-сан. Красноусольский;62,0689729532801
121;20;149;Стерлитамак АВ-Стерлибашево АС;52,0338862049185
122;97;680;Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;53,2124763820482
123;24;170;Стерлитамак АВ-Стерлибашево АС- Янгурча;40,369603732475
124;37;244;Стерлитамак АВ-Тавричанка;54,8274002075195
125;33;225;Стерлитамак АВ-Юмагузино;61,5846484173303
126;19;145;Стерлитамак-Белое озеро-Антоновка;48,7064932107926
127;295;282;Стерлитамак-Красноусольск АС;37,8243969591652
