114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;3;10:35 - 16:50;;20;;10:35;;16:45
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;4;17:05 - 19:55;;15;;17:05;;19:50
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;5;20:05 - 21:10;;20;;20:05;;21:05
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;1;07:05 - 07:20;;20;;07:06;;07:16
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;2;07:35 - 10:25;;15;;07:36;;10:21
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;3;10:35 - 16:50;;20;;10:36;;16:46
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;4;17:05 - 19:55;;15;;17:06;;19:51
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Крайняя;-;5;20:05 - 21:10;;20;;20:06;;21:06
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;1;07:05 - 07:20;;20;;07:06;;07:16
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;2;07:35 - 10:25;;15;;07:36;;10:21
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;3;10:35 - 16:50;;20;;10:36;;16:46
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;4;17:05 - 19:55;;15;;17:06;;19:51
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;УЗЭТИ;-;5;20:05 - 21:10;;20;;20:06;;21:06
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;1;07:05 - 07:20;;20;;07:07;;07:17
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;2;07:35 - 10:25;;15;;07:37;;10:22
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;3;10:35 - 16:50;;20;;10:37;;16:47
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;4;17:05 - 19:55;;15;;17:07;;19:52
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Село Первомайское;-;5;20:05 - 21:10;;20;;20:07;;21:07
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Ул. Путейская;-;1;07:05 - 07:20;;20;;07:08;;07:18
