П 120 Агидель - Нефтекамск;29,4;43
П 120 Бирск - Мишкино;43,5;48,3
П 121 Нефтекамск - Калегино;34,6;43
П 122 Стерлитамак - Кармаскалы;47,1;49,6
П 123 Бирск - Каргино;41,7;47,7
П 123 ф Нордовка - Салават;45,2;47
П 124 а Нордовка - Федоровка;45,2;48,7
П 124 ф Федоровка - Нордовка;33;43
П 125 Стерлитамак - Сады Ильмень;13,3;43
П 125 Стерлитамак (Кол. Рынок) - Сады Ильмень;13,3;43
П 126 Стерлитамак - Сады Веселое;16;43
П 127 Нордовка - Б. Четырман;53,6;58,5
П 128 Месягутово - Шарипово;39,6;43,1
П 128 Уфа (Северный АВ) - Карашиды;35;43
П 130 Б. Четырман - Мелеуз;41,5;43
П 131 Нефтекамск - ст. Мушта;33;43
П 132 Белебей - М. Москва;34,5;43
П 132 Нефтекамск - Карякино;22;43
П 132 Стерлитамак - Заливное;19,7;43
П 132 Стерлитамак - Сады Сосновка;19,7;43
П 134 Стерлитамак - Сады Мирный;22;43
П 139 Уфа (Северный АВ) - Тикеево;33,9;43
П 146 Семилетка - Чекмагуш;29,6;43
П 149 Месягутово - В.Киги;27;43
П 154 Стерлитамак - Утяково;34;43
П 156 Уфа (Южный АВ) - Сады Каряка;37,3;43
П 157 а Стерлитамак - Ранний Рассвет;25,2;43
П 157 Стерлитамак - Сады Ясное;25,4;43
П 157-2 Стерлитамак - Сады Ясное 2;25,2;43
П 157-б Стерлитамак - Сады Каучук 5/3;25,2;43
П 158 Стерлитамак - Сады Строитель 3;25,8;43
П 159 Стерлитамак - Сады Подлесное;28,7;43
П 162 Стерлитамак - Сады Рощинский;17,9;43
П 165 Баймак - Уфимский (Уфимка);34;43
П 202 с Чекмагуш - Дюртюли ч/з Султанбеково;40,2;43
П 202 Чекмагуш - Дюртюли;40,2;43
П 205 Стерлитамак АВ - Мраково;32;43
П 210 Стерлитамак АВ - д. Северная;35;43
П 241 Мелеуз - Юмагузино;40,8;45,8
П 258 Уфа (Южный АВ) - Кушнаренково;36,5;43
П 281 Стерлитамак - Золотоношка;33,2;43
П 282 Стерлитамак АВ - пос. Красноусольский;40,3;45,2
П 282 Стерлитамак АВ - сан. Красноусольский;45,5;52,1
П 290 Стерлитамак - Наумкино;33,1;43
П 298 Стерлитамак - Максимовка - Алга;33,1;43
П 500 Стерлитамак АВ - Салихово ч/з Канакаево;35;43
Персп 245 Мелеуз - Юрматы;30;43
Персп 2М 164 Уфа (Мега) - Языково;46;47
Персп 2М 530 Р Уфа (Мега) - Белебей ч/з Раевку;50;53,6
Персп 2М 530 Уфа (Мега) - Белебей;54,6;55,9
Персп 2М 531 Уфа (Мега) - Стерлитамак;56,5;60,6
Персп 2М 534 Уфа (Северный АВ) - Бирск ч/з Благовещенск;44,9;46,1
Персп 2М 547 Уфа (Северный АВ) - В. Татышлы;46,1;47,1
Персп 2М 551 Уфа (Мега) - Салават;52,6;54,4
Персп 2М 552 С Уфа (Мега) - сан. Красноусольск;54;55
Персп 2М 552 Уфа (Мега) - Красноусольск;54,6;55
Персп 2М 560 Уфа (Мега) - Бижбуляк ч/з Аксеново;54,3;57,2
Персп 2М 567 Уфа (Северный АВ) - Аскино ч/з Благовещенск;44,9;45,7
Персп 2М 571 Уфа (Мега) - Федоровка;55,9;58,7
Персп 2М 572 Уфа (Мега) - Н. Киешки ч/з Кармаскалы, Прибельский;44,7;47,8
Персп 2М 577 Уфа (Северный АВ) - Караидель ч/з Благовещенск;46,1;49,9
Персп 2М 578 Уфа (Мега) - Акъяр;56,3;59,5
Персп 2М 581 Уфа (Мега) -  Мелеуз;50;51,5
Персп 2М 582 Уфа (Мега) - Архангельское ч/з Булгаково;51,7;53,2
