LINENAME;DIRECTIONCODE;TIMEPROFILENAME;INDEX;POSTRUNTIME;POSTLENGTH;ACCUMRUNTIME;STOPTIME;LINEROUTEITEM\STOPPOINT\NAME
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;13;33;0.280420541;829;25;Республиканская клиническая больница им. Куватова (РКБ им. Куватова)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;14;34;0.282680952;887;25;Студенческая
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;15;45;0.378057542;946;20;Дом печати
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;16;67;0.575443896;1011;25;Центр молодежи
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;17;86;0.705543926;1103;25;Уфимский завод эластамерных материалов и конструкций (УЗЭМИК)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;18;61;0.506006986;1214;25;Башкирское речное пароходство
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;19;26;0.214219215;1300;25;Ул. Пермская
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;20;85;0.712522519;1351;25;Тепловозремонтный завод (ТРЗ)
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;<;B;21;0;0;1461;0;Железнодорожный вокзал
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;1;567;4.70695481;0;0;Парк им. Калинина
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;2;471;3.927157749;567;20;Сортопрокатный завод
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;3;109;0.909979277;1058;20;Троллейбусное депо №2
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;4;47;0.394459675;1187;25;Ул. Кремлевская
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;5;42;0.351401344;1259;25;Больница №17
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;6;109;0.901174101;1326;25;Ул. Д. Донского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;7;129;1.06915506;1460;25;"Торгово-сервисный комплекс ""Северный"" (ТСК ""Северный"")"
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;8;131;1.07933914;1614;25;Военный комиссариат Орджоникидзевского района
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;9;152;1.263036575;1770;25;Ул. Конституции
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;10;183;1.545531342;1947;25;Ул. Ульяновых
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;<;B;11;0;0;2155;0;Ул. Интернациональная
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;1;152;1.278091707;0;0;Ул. Интернациональная
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;2;80;0.672431557;152;25;Ул. Маяковского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;3;126;1.043666599;257;25;Республиканский экономический лицей
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;4;128;1.060074846;408;25;Ул. Конституции
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;5;137;1.131849344;561;25;Военный комиссариат Орджоникидзевского района
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;6;103;0.856095108;723;25;"Торгово-сервисный комплекс ""Северный"" (ТСК ""Северный"")"
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;7;40;0.332344036;851;25;Ул. Д. Донского
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;8;48;0.398045052;916;25;Больница №17
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;9;164;1.367097452;989;25;Ул. Кремлевская
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;10;70;0.582221593;1178;20;Ул. Кольцевая
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;11;914;7.609302066;1268;20;Детская поликлиника №4
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;B;12;0;0;2202;0;Парк им. Калинина
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;1;105;0.732161786;0;0;ул. Молодежная
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;2;286;1.985666816;105;25;Старые Турбаслы
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;3;63;0.434123876;416;25;Сад 21
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;4;176;1.220721724;504;25;Сад №3
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;5;115;0.79391114;705;25;Загородная
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;6;164;1.141863404;845;25;Железобетонный завод №1
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;7;367;2.551844376;1034;25;"ОАО ""Акционерная компания ""Восток нефтезавод монтаж"""
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;8;533;3.697236298;1426;25;Кислородная
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;9;276;1.915515968;1984;25;Степановский поворот
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;10;124;0.863097874;2285;25;Химпром
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;11;102;0.707502011;2434;25;"Ремонтно-строительно-монтажное управление ""Агрохимремонт"""
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;12;133;0.923390039;2561;25;Тимашевский поворот
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;13;96;0.671104082;2719;25;Железнодорожный переезд Тимашевский
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;14;64;0.442496092;2840;25;Хлебзавод №8
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;15;60;0.417614053;2929;25;Ул. Вологодская
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;16;89;0.618868118;3014;25;Больница №17
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;17;80;0.553453984;3128;20;Ул. Александра Невского
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;18;41;0.282648256;3228;20;Детский дом №9
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;19;207;1.441539172;3289;20;Республиканский Башкирско-Турецкий лицей
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;20;113;0.781383598;3516;25;Больница №10
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;21;76;0.52370697;3654;20;Ул. Кемеровская
Г 009 Северный автовокзал - Пос. Турбаслы;>;B;22;0;0;3750;0;Северный автовокзал
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;1;151;1.047791373;0;0;Северный автовокзал
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;2;64;0.43905699;151;25;Ул. Конституции
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;3;127;0.885858356;240;25;Больница №10
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;4;58;0.405177295;392;20;Колхозный рынок
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;5;50;0.343451609;470;20;Республиканский Башкирско-Турецкий лицей
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;6;74;0.513151778;540;20;Детский дом №9
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;7;7;0.049843794;634;20;Ул. Александра Невского
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;8;93;0.647413533;661;20;Ул. Александра Невского
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;9;54;0.37259084;774;25;Больница №17
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;10;163;1.136985734;853;25;Ул. Вологодская
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;11;136;0.944039845;1041;25;Железнодорожный переезд Тимашевский
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;12;101;0.698198522;1202;25;Тимашевский поворот
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;13;120;0.838515968;1328;25;"Ремонтно-строительно-монтажное управление ""Агрохимремонт"""
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;14;280;1.939877777;1473;25;Химпром
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;15;534;3.703088485;1778;25;Степановский поворот
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;16;371;2.585181547;2337;25;Кислородная
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;17;157;1.088780159;2733;25;"ОАО ""Акционерная компания ""Восток нефтезавод монтаж"""
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;18;276;1.913248112;2915;25;Железобетонный завод №1
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;19;79;0.544933447;3216;25;Сад №3
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;20;277;1.922258106;3320;25;Сад 21
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;21;105;0.732161786;3622;25;Старые Турбаслы
Г 009 Северный автовокзал - Пос. Турбаслы;<;B;22;0;0;3752;0;ул. Молодежная
Г 010 ДК УМПО - пос. Максимовка;<;B;1;61;0.422;0;0;Поселок Максимовка
Г 010 ДК УМПО - пос. Максимовка;<;B;2;64;0.440314735;61;25;Ул. Чехова
Г 010 ДК УМПО - пос. Максимовка;<;B;3;116;0.792337493;150;25;Школа №53
Г 010 ДК УМПО - пос. Максимовка;<;B;4;80;0.551757839;291;25;Максимовский здравпункт
Г 010 ДК УМПО - пос. Максимовка;<;B;5;103;0.708859969;396;25;Ул. Сосновская
Г 010 ДК УМПО - пос. Максимовка;<;B;6;70;0.477215568;524;25;Ул. Крылова
Г 010 ДК УМПО - пос. Максимовка;<;B;7;45;0.315276974;619;25;Сад №5
Г 010 ДК УМПО - пос. Максимовка;<;B;8;64;0.44662257;689;25;Сад №10
Г 010 ДК УМПО - пос. Максимовка;<;B;9;462;3.208209058;778;20;Тарная база
Г 010 ДК УМПО - пос. Максимовка;<;B;10;0;0;1260;0;Дворец культуры Уфимского моторостроительного производственного объединения (ДК УМПО)
Г 010 ДК УМПО - пос. Максимовка;>;B;1;75;0.522621699;0;0;Дворец культуры Уфимского моторостроительного производственного объединения (ДК УМПО)
Г 010 ДК УМПО - пос. Максимовка;>;B;2;43;0.295167896;75;20;Администрация Калининского района
Г 010 ДК УМПО - пос. Максимовка;>;B;3;99;0.683483596;138;20;Ул. Суворова
Г 010 ДК УМПО - пос. Максимовка;>;B;4;198;1.371652221;257;20;Детская поликлиника №4
Г 010 ДК УМПО - пос. Максимовка;>;B;5;69;0.483899544;475;20;Тарная база
Г 010 ДК УМПО - пос. Максимовка;>;B;6;49;0.337556041;564;25;Сад №10
Г 010 ДК УМПО - пос. Максимовка;>;B;7;67;0.456343629;638;25;Сад №5
Г 010 ДК УМПО - пос. Максимовка;>;B;8;103;0.710489591;730;25;Ул. Крылова
Г 010 ДК УМПО - пос. Максимовка;>;B;9;81;0.556771032;858;25;Ул. Сосновская
Г 010 ДК УМПО - пос. Максимовка;>;B;10;104;0.715310773;964;25;Максимовский здравпункт
Г 010 ДК УМПО - пос. Максимовка;>;B;11;62;0.425001555;1093;25;Школа №53
Г 010 ДК УМПО - пос. Максимовка;>;B;12;68;0.469012984;1180;25;Ул. Чехова
Г 010 ДК УМПО - пос. Максимовка;>;B;13;0;0;1273;0;Поселок Максимовка
Г 015 Северный автовокзал - Северное кладбище;<;B;1;40;0.277304375;0;0;Северное кладбище
Г 015 Северный автовокзал - Северное кладбище;<;B;2;9;0.059694563;40;25;Ул. Тимашевская
Г 015 Северный автовокзал - Северное кладбище;<;B;3;55;0.381494049;74;25;Ул. Тимашевская
Г 015 Северный автовокзал - Северное кладбище;<;B;4;10;0.069880371;154;25;Ул. Курильская
Г 015 Северный автовокзал - Северное кладбище;<;B;5;66;0.458280909;189;25;Ул. Курильская
Г 015 Северный автовокзал - Северное кладбище;<;B;6;21;0.144608678;280;25;Школа №36
Г 015 Северный автовокзал - Северное кладбище;<;B;7;40;0.277181748;326;25;Школа №36
Г 015 Северный автовокзал - Северное кладбище;<;B;8;6;0.041900593;391;25;Ул. Нагорная
Г 015 Северный автовокзал - Северное кладбище;<;B;9;72;0.502140234;422;25;Ул. Нагорная
Г 015 Северный автовокзал - Северное кладбище;<;B;10;13;0.088230367;519;25;Тимашевский поворот
Г 015 Северный автовокзал - Северное кладбище;<;B;11;124;0.861225709;557;25;Тимашевский поворот
Г 015 Северный автовокзал - Северное кладбище;<;B;12;8;0.056751556;706;25;Железнодорожный переезд Тимашевский
Г 015 Северный автовокзал - Северное кладбище;<;B;13;96;0.671104082;739;25;Железнодорожный переезд Тимашевский
Г 015 Северный автовокзал - Северное кладбище;<;B;14;4;0.029070385;860;25;Хлебзавод №8
Г 015 Северный автовокзал - Северное кладбище;<;B;15;55;0.380059711;889;25;Хлебзавод №8
Г 015 Северный автовокзал - Северное кладбище;<;B;16;5;0.033365996;969;25;Ул. Вологодская
Г 015 Северный автовокзал - Северное кладбище;<;B;17;49;0.339224843;999;25;Ул. Вологодская
Г 015 Северный автовокзал - Северное кладбище;<;B;18;11;0.078389209;1073;25;Больница №17
Г 015 Северный автовокзал - Северное кладбище;<;B;19;82;0.569024324;1109;25;Больница №17
Г 015 Северный автовокзал - Северное кладбище;<;B;20;7;0.049843794;1216;20;Ул. Александра Невского
Г 015 Северный автовокзал - Северное кладбище;<;B;21;74;0.513151778;1243;20;Ул. Александра Невского
Г 015 Северный автовокзал - Северное кладбище;<;B;22;6;0.040302205;1337;20;Детский дом №9
Г 015 Северный автовокзал - Северное кладбище;<;B;23;41;0.282648256;1363;20;Детский дом №9
Г 015 Северный автовокзал - Северное кладбище;<;B;24;3;0.020501147;1424;20;Республиканский Башкирско-Турецкий лицей
Г 015 Северный автовокзал - Северное кладбище;<;B;25;58;0.405177295;1447;20;Республиканский Башкирско-Турецкий лицей
Г 015 Северный автовокзал - Северное кладбище;<;B;26;27;0.187241056;1525;20;Колхозный рынок
Г 015 Северный автовокзал - Северное кладбище;<;B;27;100;0.6986173;1572;20;Колхозный рынок
Г 015 Северный автовокзал - Северное кладбище;<;B;28;19;0.130002374;1692;25;Больница №10
Г 015 Северный автовокзал - Северное кладбище;<;B;29;45;0.309054616;1736;25;Больница №10
Г 015 Северный автовокзал - Северное кладбище;<;B;30;68;0.472328982;1806;25;Ул. Конституции
Г 015 Северный автовокзал - Северное кладбище;<;B;31;76;0.52370697;1899;20;Ул. Кемеровская
Г 015 Северный автовокзал - Северное кладбище;<;B;32;0;0;1995;0;Северный автовокзал
Г 015 Северный автовокзал - Северное кладбище;>;B;1;83;0.57546239;0;0;Северный автовокзал
Г 015 Северный автовокзал - Северное кладбище;>;B;2;29;0.207080956;83;20;Ул. Кемеровская
Г 015 Северный автовокзал - Северное кладбище;>;B;3;6;0.044485303;132;20;"Стадион ""Нефтяник"""
Г 015 Северный автовокзал - Северное кладбище;>;B;4;46;0.322480103;158;20;"Стадион ""Нефтяник"""
Г 015 Северный автовокзал - Северное кладбище;>;B;5;17;0.116534955;224;20;Парк Победы
Г 015 Северный автовокзал - Северное кладбище;>;B;6;69;0.476726949;261;20;Парк Победы
Г 015 Северный автовокзал - Северное кладбище;>;B;7;54;0.372283285;350;20;Уфимский государственный нефтяной технический университет
Г 015 Северный автовокзал - Северное кладбище;>;B;8;50;0.344793376;424;20;Ул. Космонавтов
Г 015 Северный автовокзал - Северное кладбище;>;B;9;38;0.260689449;494;20;Площадь им. Серго Орджоникидзе
Г 015 Северный автовокзал - Северное кладбище;>;B;10;86;0.596602331;552;20;Уфимский топливно-энергетический колледж
Г 015 Северный автовокзал - Северное кладбище;>;B;11;14;0.094825671;658;20;Детский сад №80
Г 015 Северный автовокзал - Северное кладбище;>;B;12;41;0.286128003;692;20;Детский сад №80
Г 015 Северный автовокзал - Северное кладбище;>;B;13;27;0.187241056;753;20;Колхозный рынок
Г 015 Северный автовокзал - Северное кладбище;>;B;14;58;0.405177295;800;20;Колхозный рынок
Г 015 Северный автовокзал - Северное кладбище;>;B;15;3;0.020501147;878;20;Республиканский Башкирско-Турецкий лицей
Г 015 Северный автовокзал - Северное кладбище;>;B;16;41;0.282648256;901;20;Республиканский Башкирско-Турецкий лицей
Г 015 Северный автовокзал - Северное кладбище;>;B;17;6;0.040302205;962;20;Детский дом №9
Г 015 Северный автовокзал - Северное кладбище;>;B;18;74;0.513151778;988;20;Детский дом №9
Г 015 Северный автовокзал - Северное кладбище;>;B;19;7;0.049843794;1082;20;Ул. Александра Невского
Г 015 Северный автовокзал - Северное кладбище;>;B;20;82;0.569024324;1109;20;Ул. Александра Невского
Г 015 Северный автовокзал - Северное кладбище;>;B;21;11;0.078389209;1211;25;Больница №17
Г 015 Северный автовокзал - Северное кладбище;>;B;22;49;0.339224843;1247;25;Больница №17
Г 015 Северный автовокзал - Северное кладбище;>;B;23;5;0.033365996;1321;25;Ул. Вологодская
Г 015 Северный автовокзал - Северное кладбище;>;B;24;55;0.380059711;1351;25;Ул. Вологодская
Г 015 Северный автовокзал - Северное кладбище;>;B;25;4;0.029070385;1431;25;Хлебзавод №8
Г 015 Северный автовокзал - Северное кладбище;>;B;26;96;0.671104082;1460;25;Хлебзавод №8
Г 015 Северный автовокзал - Северное кладбище;>;B;27;8;0.056751556;1581;25;Железнодорожный переезд Тимашевский
Г 015 Северный автовокзал - Северное кладбище;>;B;28;124;0.861225709;1614;25;Железнодорожный переезд Тимашевский
Г 015 Северный автовокзал - Северное кладбище;>;B;29;13;0.088230367;1763;25;Тимашевский поворот
Г 015 Северный автовокзал - Северное кладбище;>;B;30;72;0.502140234;1801;25;Тимашевский поворот
Г 015 Северный автовокзал - Северное кладбище;>;B;31;6;0.041900593;1898;25;Ул. Нагорная
Г 015 Северный автовокзал - Северное кладбище;>;B;32;40;0.277181748;1929;25;Ул. Нагорная
Г 015 Северный автовокзал - Северное кладбище;>;B;33;21;0.144608678;1994;25;Школа №36
Г 015 Северный автовокзал - Северное кладбище;>;B;34;66;0.458280909;2040;25;Школа №36
Г 015 Северный автовокзал - Северное кладбище;>;B;35;10;0.069880371;2131;25;Ул. Курильская
Г 015 Северный автовокзал - Северное кладбище;>;B;36;55;0.381494049;2166;25;Ул. Курильская
Г 015 Северный автовокзал - Северное кладбище;>;B;37;9;0.059694563;2246;25;Ул. Тимашевская
Г 015 Северный автовокзал - Северное кладбище;>;B;38;40;0.277304375;2280;25;Ул. Тимашевская
Г 015 Северный автовокзал - Северное кладбище;>;B;39;0;0;2345;0;Северное кладбище
Г 016(Тм) Санаторий «Зеленая роща» - Ул. Пушкина;<;B;1;35;0.290702248;0;0;Ул. Пушкина
Г 016(Тм) Санаторий «Зеленая роща» - Ул. Пушкина;<;B;2;44;0.372132138;35;20;Ул. Мажита Гафури
Г 016(Тм) Санаторий «Зеленая роща» - Ул. Пушкина;<;B;3;29;0.233160567;99;20;Ул. Свердлова
