ROUTE_N_NAME;DIR;PERIOD;COND;SINCE;TILL;SEASON
Г 252 Гипермаркет «Лента» - Микрорайон «Колгуевский» - Микрорайон Нижегородка;>;7;ПН-ПТ;16:00;18:00;Круглогодично
Г 264 ОК Сипайловский - Телецентр;>;12;ПН-ПТ;16:00;18:00;Круглогодично
Г 278 Улица Рощинская - Больница №21;>;15;ПН-ПТ;16:00;18:00;Круглогодично
Г 287 Ул. им. города Галле - Поселок 8-ое Марта - Микрорайон «Забельский»;>;24;ПН-ПТ;16:00;18:00;Круглогодично
Г 291 Уфа-АвтоВАЗ - Гимназия-интернат №1;>;9;ПН-ПТ;16:00;18:00;Круглогодично
Г 292 Микрорайон «Серебряный ручей» - «Мега-Уфа»- мкрн.«Цветы Башкирии»;>;24;ПН-ПТ;16:00;18:00;Круглогодично
Г 293 Никольский - Старая Александровка - Колхозный рынок;>;30;ПН-ПТ;17:00;18:00;Круглогодично
Г 296 ТЭЦ-1 - Вотикеево;>;60;ПН-ПТ;16:00;18:00;Круглогодично
Г 299 ДК УМПО - Микрорайон Базилевка - Микрорайон «Федоровка»;>;30;ПН-ПТ;16:00;18:00;Круглогодично
Г 300 Радуга - ДК УМПО;>;58;ПН-ПТ;16:00;18:00;Круглогодично
М 2(г) Северный автовокзал - ТСК Пушкинский;>;2;ПН-ПТ;16:00;18:00;Круглогодично
М 3(г) ТЭЦ-1 - Белореченский мкрн.;>;6;ПН-ПТ;16:00;18:00;Круглогодично
