М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
М 844 Аскарово - Сибай;Сибай АВ, Казанка, Альмухаметово, Халилово, Абдулмамбетово, Махмутово, Тепяново, Ишкулово, Равилово, Кускарово, Айгырбаткан, Аскарово;Аскарово, Айгырбаткан, Кускарово, Равилово, Ишкулово, Тепяново, Махмутово, Абдулмамбетово, Халилово, Альмухаметово, Казанка, Сибай АВ
М 917 Верхнеяркеево - Туймазы;Верхнеяркеево АС, Карабашево, Кадырово, Староиликово, Бакалы  АС, Старые Балыклы, Дияшево, Сакатово, Новоюзеево, Верхние Ташлы, Зириклы, Тюменяк, Туймазы АВ;Туймазы АВ, Тюменяк, Зириклы, Верхние Ташлы, Новоюзеево, Сакатово, Дияшево, Старые Балыклы, Бакалы  АС, Староиликово, Кадырово, Карабашево, Верхнеяркеево АС
М 918 Сибай - Стерлитамак;Стерлитамак АВ МГ, Салават АВ МГ, Мелеуз АВ, Мраково АС, Зилаир АС МГ,, Юлдыбаево АС МГ,, Баймак АВ, Сибай АВ;Сибай АВ, Баймак АВ, Юлдыбаево АС МГ,, Зилаир АС МГ,, Мраково АС, Мелеуз АВ, Салават АВ МГ, Стерлитамак АВ МГ
М 919 Архангельское - Стерлитамак ч/з З. Караново;Архангельское АС МГ, Орловка, Зилим Караново МГ, Покровка МГ, Стерлитамак АВ МГ;Стерлитамак АВ МГ, Покровка МГ, Зилим Караново МГ, Орловка, Архангельское АС МГ
М 924 Аскарово - Белорецк;Аскарово, Кулукасово МГ, Рыскужино, Казмаш, Амангильдино, Утяганово, Ишкильдино, Саиткулово, Барангулово, Майгашта, Шарипово, Узян-Баш, Хусаиново, Уткалево, Рысыкаево, Сосновка, Белорецк АВ;Белорецк АВ, Сосновка, Рысыкаево, Уткалево, Хусаиново, Узян-Баш, Шарипово, Майгашта, Барангулово, Саиткулово, Ишкильдино, Утяганово, Амангильдино, Казмаш, Рыскужино, Кулукасово МГ, Аскарово
М 939 Баймак - Акъяр ч/з Юлдыбаево;Акъяр АС, Садовый, Бурибай, Самарское МГ, Бузавлык МГ, Салимово, Матраево МГ, Ямансаз, Юлдыбаево АС МГ,, Абдулкаримово, Воскресенское, Ишмурзино, Мамбетово, Баймак АВ;Баймак АВ, Мамбетово, Ишмурзино, Воскресенское, Абдулкаримово, Юлдыбаево АС МГ,, Ямансаз, Матраево МГ, Салимово, Бузавлык МГ, Самарское МГ, Бурибай, Садовый, Акъяр АС
М 968 Караидель - Нефтекамск;Караидель АС, Аскино АС, Старобалтачево АС М/Г, Ямурзино, Старотазларово, Утяганово, Бураево АС М/Г, Янаул АВ М/Г, Нефтекамск АВ;Нефтекамск АВ, Янаул АВ М/Г, Бураево АС М/Г, Утяганово, Старотазларово, Ямурзино, Старобалтачево АС М/Г, Аскино АС, Караидель АС
М Стерлитамак - Стерлибашево ч/з Кабакуш;Стерлитамак АВ, Айгулово, Веденовка, Поворот Н. Фёдоровка, Поворот Григорьевка, Уметбаево, Елимбетово, Поворот Сарайса, Поворот Шакар, Караяр, Кундряк, Кабакуш, Карагушево МГ,, Бахча, Стерлибашево АС;Стерлибашево АС, Бахча, Карагушево МГ,, Кабакуш, Кундряк, Караяр, Поворот Шакар, Поворот Сарайса, Елимбетово, Уметбаево, Поворот Григорьевка, Поворот Н. Фёдоровка, Веденовка, Айгулово, Стерлитамак АВ
МН Исянгулово - Мраково;Исянгулово, Назаркино, Туембетово, Мурсаляево, Мукачево, Исимово МГ, Салихово МГ., Петровское МГ, Мусино, Новониколаевск, Мраково АС;Мусино, Мраково АС, Новониколаевск, Петровское МГ, Салихово МГ., Исимово МГ, Мукачево МГ, Мурсаляево МГ, Туембетово МГ, Назаркино, Исянгулово
МН Стерлитамак - Киргиз Мияки;Колхозный рынок АС, Ашкадар, Баимово МГ, Максютово МГ, Уязыбашево МГ, Киргиз-Мияки;Киргиз-Мияки, Уязыбашево МГ, Максютово МГ, Баимово МГ, Ашкадар, Колхозный рынок АС
МН Стерлитамак - Мелеуз;Колхозный рынок АС, Салават АВ, Автовокзал;Автовокзал, Салават АВ, Колхозный рынок АС
МН Стерлитамак - Раевка;Колхозный рынок АС, Деревня Рязановка, Поворот Услы, Поворот Чуртан, Поворот Бегеняш, Поворот Константиноградовка, Уразметово, Поворот Тавричанка, Красный Клин, Кипчак-Аскарово, Раевка МГ;Раевка МГ, Кипчак-Аскарово, Красный Клин, Поворот Тавричанка, Уразметово, Поворот Константиноградовка, Поворот Бегеняш, Поворот Чуртан, Поворот Услы, Деревня Рязановка, Стерлитамак АВ, Колхозный рынок АС
МН Уфа - Бакалы;Ул. им. города Галле, Подымалово, Шарипово МГ, Кушнаренково, Чекмагуш, Бакалы  АС;Бакалы  АС, Чекмагуш, Кушнаренково, Шарипово МГ, Подымалово, Ул. им. города Галле
МН Уфа - Буздяк;"""ТК """"Центральный"""""", Алкино, Покровка АС, Буздяк";"Буздяк, Покровка АС, Алкино, ""ТК """"Центральный"""""""
МН Уфа - В.Яркеево;Южный автовокзал, Подымалово, Шарипово МГ, Салпарово, Ишкарово, Верхнеяркеево АС;Верхнеяркеево АС, Ишкарово, Салпарово, Шарипово МГ, Подымалово, Южный автовокзал
МН Уфа - Давлеканово;"""ТК """"Центральный"""""", Алкино, Чишмы АС, Давлеканово АС М/Г";"Давлеканово АС М/Г, Чишмы АС, Алкино, ""ТК """"Центральный"""""""
МН Уфа - Ишимбай;"""ТК """"Центральный"""""", Булгаково, Старомусино, Ишлы, Толбазы АС, Стерлитамак, Автовокзал";"Автовокзал, Стерлитамак, Толбазы АС, Ишлы, Старомусино, Булгаково, ""ТК """"Центральный"""""""
МН Уфа - Киргиз Мияки;"""Универмаг """"Уфа"""""", Юмагузино, Киргиз Мияки МГ";"Киргиз Мияки МГ, Юмагузино, ""Универмаг """"Уфа"""""""
МН Уфа - Максютово;"""Ледовый дворец """"Уфа-Арена"""""", Булгаково, Мелеуз АВ, Мраково, Максютово";"Максютово, Мраково, Мелеуз АВ, Булгаково, ""Ледовый дворец """"Уфа-Арена"""""""
МН Уфа - Прибельский;Спортивная, Булгаково, Карламан, Прибельский;Прибельский, Карламан, Булгаково, Спортивная
МН Уфа - Раевка;"""ТК """"Центральный"""""", Алкино, Чишмы АС, Раевка АС";"Раевка АС, Чишмы АС, Алкино, ""ТК """"Центральный"""""""
МН Уфа - Сибай;"""ТК """"Центральный"""""", Булгаково, Архангельское АС МГ, Инзер МГ, Михайловка, Тирменево, Альмухаметово, Сибай АВ";"Сибай АВ, Альмухаметово, Тирменево, Михайловка, Инзер МГ, Архангельское АС МГ, Булгаково, ""ТК """"Центральный"""""""
МН Уфа - Языково;"""Универмаг """"Уфа"""""", Алкино, Языково АС М/Г";"Языково АС М/Г, Алкино, ""Универмаг """"Уфа"""""""
МН Уфа (ТЦ Галле) - Янышево;Южный автовокзал, Алкино, Кашкалаши, Янышево;Янышево, Кашкалаши, Алкино, Южный автовокзал
П 001 Туймазы - Якшаево;Туймазы АВ, ул. 70 лет Октября, Тубанкуль, Старые Туймазы, Октябрьский АВ, ул. Гатиятуллина (Муллино), Уязы-Тамак, Каратово, Якшаево;Якшаево, Каратово, Уязы-Тамак, ул. Гатиятуллина (Муллино), Октябрьский АВ, Старые Туймазы, Тубанкуль, ул. 70 лет Октября, Туймазы АВ
П 002 Туймазы - Октябрьский - Серафимовский;"Туймазы АВ, ""ДК """"Родина"""""", Тубанкуль, Старые Туймазы, Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС";"Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ, Старые Туймазы, Тубанкуль, ""ДК """"Родина"""""", Туймазы АВ"
П 003 Серафимовский - Октябрьский;Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ;Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС
П 011 Сибай - Старый Сибай;"Сибай АВ, ГИБДД, ВДПО, ЮВГРЭ, Элеватор, ул. Загородная, ""Магазин """"Золото"""""", ул. Коркино, Атайсал, ул. Гагарина, Старый Сибай";"Старый Сибай, ул. Гагарина, Атайсал, ул. Коркино, ""Магазин """"Золото"""""", ул. Загородная, Элеватор, ЮВГРЭ, ВДПО, ГИБДД, Сибай АВ"
П 012 Октябрьский - Серафимовский;Октябрьский АВ, Куюк-Тамак, Новые Бишинды, Серафимовский АС;Серафимовский АС, Новые Бишинды, Куюк-Тамак, Октябрьский АВ
П 101 Белебей - Приютово;"Белебей АВ, 10-й км, Родники, Новая дорога, ""Дом отдыха """"Спутник"""""", Мартыново, Екатериновка, Воробьевка, ШГПЗ, Сады 2, Сады 1, Приютово АС";"Приютово АС, Сады 1, Сады 2, ШГПЗ, Воробьевка, Екатериновка, Мартыново, ""Дом отдыха """"Спутник"""""", Новая дорога, Родники, 10-й км, Белебей АВ"
П 101 И Салават - Ишимбай;Салават АВ, Автосервис, Хлебзавод, СНОС, Очистные сооружения, Ишимбайский перекрёсток, Подземстрой, АГНС, ИЗТМ, Левый берег, Ишимбай АВ;Ишимбай АВ, Левый берег, ИЗТМ, АГНС, Подземстрой, Ишимбайский перекрёсток, Очистные сооружения, СНОС, Хлебозавод, Автосервис, Салават АВ
П 101 Кумертау - Мелеуз;Кумертау АВ, Алексеевка, Ира, Мелеуз АВ;Мелеуз АВ, Ира, Алексеевка, Кумертау АВ
П 101 Нефтекамск - Николо-Березовка;Нефтекамск АВ, Николо-Берёзовка;Николо-Берёзовка, Нефтекамск АВ
П 101 Салават АВ - Стерлитамак АВ;Салават АВ, Кантюковка, Васильевка, Наумовка, Покровка, 6 совхоз, Колхозный рынок АС;Колхозный рынок АС, 6 совхоз, Покровка, Наумовка, Васильевка, Кантюковка, Салават АВ
П 101 Уфа (ул. Дзержинского) - Аэропорт;"Ул. Дзержинского, Железнодорожный вокзал, Ул. Пермская, Речной порт, ""Завод """"Магнетрон"""""", Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный"""""", ""Банк """"Уралсиб"""""", Национальный молодежный театр им. М.Карима, ""Гостиница """"Башкортостан"""""", Гостиный двор, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Икеа, Озёрная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Металлобаза, Поселок Аэропорт, Аэропорт";"Аэропорт, Поселок Аэропорт, Металлобаза, Поселок Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Гостиный двор, ""Гостиница """"Башкортостан"""""", ""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал, ""Завод """"Магнетрон"""""", Речной порт, Железнодорожный вокзал, Ул. Дзержинского"
П 102 Бижбуляк - Приютово;Бижбуляк АС, Калиновка, Ивановка, Шкапово, Развилка, Ик Вершина, Река Ик, Павловский (Чегодаевский) перекрёсток, Приютово АС;Приютово АС, Павловский (Чегодаевский) перекрёсток, Река Ик, Ик Вершина, Развилка, Шкапово, Ивановка, Калиновка, Бижбуляк АС
П 102 Ишимбай - Стерлитамак;Ишимбай АВ, Левый берег, ИЗТМ, Развилка, Кантюковка, Аллагуват, Васильевка, Наумовка, Покровка, 6 совхоз, Сады Ильмень, Ашкадар, Питомник, Колхозный рынок АС;Колхозный рынок АС, Питомник, Ашкадар, Сады Ильмень, 6 совхоз, Покровка, Наумовка, Васильевка, Аллагуват, Кантюковка, Развилка, ИЗТМ, Левый берег, Ишимбай АВ
П 102 Кумертау - Ермолаево;КумАПП, Скорая помощь, Кумертау АВ, Ермолаево;Ермолаево, Кумертау АВ, Скорая помощь, КумАПП
П 102 Нефтекамск - Куяново;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Нагаево, Актанышбаш, КНС 7, Шушнур, Новая Мушта, Сабанчи, Шарипово, Купербаш, КНС 22, Промысел, Куяново;Куяново, Промысел, КНС 22, Купербаш, Шарипово, Сабанчи, Новая Мушта, Шушнур, КНС 7, Актанышбаш, Нагаево, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 102 Салават - Мелеуз;Салават АВ, Юлдаш, Зирган, Климовка, Ивановка, Васильевка, Самаровка, Мелеуз АВ;Мелеуз АВ, Самаровка, Васильевка, Ивановка, Климовка, Зирган, Юлдаш, Салават АВ
П 102 Янаул - Калтасы;Янаул АС, Каймаша, Татышлы перекрёсток, Орловка (Петровка) перекрёсток, Атлегач, Ижболдино, Краснохолмская АС, Киебак, Калмаш, Калтасы;Калтасы, Калмаш, Киебак, Краснохолмская АС, Ижболдино, Атлегач, Орловка (Петровка) перекрёсток, Татышлы перекрёсток, Каймаша, Янаул АС
П 103 Петровск - Стерлитамак;Петровское АС, Михайловка, Ахмерово, Ишеево, поворот Октябрь, ДК Сода, Колхозный рынок АС, Стерлитамак АВ;Стерлитамак АВ, Колхозный рынок АС, ДК Сода, поворот Октябрь, Ишеево, Ахмерово, Михайловка, Петровское АС
П 103 Уфа (Северный АВ) - Ст.Черкассы;Северный автовокзал, Колхозный рынок, Больница №17, Хлебзавод №8, Химпром, Степановский поворот, Сад №3, Сад №4, Новые Черкассы поворот, Старые Черкассы;Старые Черкассы, Новые Черкассы поворот, Сад №4, Сад №3, Степановский поворот, Химпром, Хлебзавод №8, Больница №17, Колхозный рынок, Северный автовокзал
П 104 с Благовещенск - Уфа (Гимназия им.Гарипова);"ЦРБ, Арматурный з-д, ГАИ, ПОЛИЭФ, Щепное, Керамика, Сад №3, Загородная, Железобетонный завод №1, ТЭЦ-4, Железнодорожный переезд Бирский, Ул. Энергетиков, Парниковое хозяйство, УНПЗ, Завод Сантехкабин, Ул. Федоровская, Ул. Грибоедова, Бельский ДОК, Ул. Садовая, Северный автовокзал, ""Стадион """"Нефтяник"""""", Парк Победы, УГНТУ, Ул. Комарова, Парк им. Калинина, Городской Дворец культуры, Бульвар Славы, Театр кукол, Гимназия-интернат №1 им. Рами Гарипова";"Гимназия-интернат №1 им. Рами Гарипова, Театр кукол, Бульвар Славы, Городской Дворец культуры, Парк им. Калинина, Ул. Комарова, УГНТУ, Парк Победы, ""Стадион """"Нефтяник"""""", Северный автовокзал, Ул. Садовая, Бельский ДОК, Ул. Грибоедова, Ул. Федоровская, Завод Сантехкабин, УНПЗ, Парниковое хозяйство, Ул. Энергетиков, Железнодорожный переезд Бирский, ТЭЦ-4, Железобетонный завод №1, Загородная, Сад №3, Керамика, Щепное, ПОЛИЭФ, ГАИ, Арматурный з-д, ЦРБ"
П 105 а Нефтекамск - Ст. Буртюк;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Нагаево, Актанышбаш, КНС 7, Шушнур, Новая Мушта, Сабанчи, Шарипово, Купербаш, КНС 22, Промысел, Редькино, Куяново, Профилакторий, Хазино, Новая Бура, Новый Буртюк, Старый Буртюк;Старый Буртюк, Новый Буртюк, Новая Бура, Хазино, Профилакторий, Куяново, Редькино, Промысел, КНС 22, Купербаш, Шарипово, Сабанчи, Новая Мушта, Шушнур, КНС 7, Актанышбаш, Нагаево, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 105 Кумертау - Кинзебаево;Кумертау АВ, Ермолаево, Новая Уралка, Знаменка, Кривля, Павловка, Кинзебаево;Кинзебаево, Павловка, Кривля, Знаменка, Новая Уралка, Ермолаево, Кумертау АВ
П 105 Нефтекамск - Н. Буртюк;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Нагаево, Актанышбаш, КНС 7, Шушнур, Новая Мушта, Сабанчи, Шарипово, Купербаш, КНС 22, Промысел, Редькино, Куяново, Профилакторий, Хазино, Новая Бура, Новый Буртюк;Новый Буртюк, Новая Бура, Хазино, Профилакторий, Куяново, Редькино, Промысел, КНС 22, Купербаш, Шарипово, Сабанчи, Новая Мушта, Шушнур, КНС 7, Актанышбаш, Нагаево, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 105 Семилетка - В. Яркеево;Семилетка, Бишкураево, Илякшиде, Бишкураево, Верхнеманчарово, Игметово, Абдуллино, Игметово, Кызыл-Байрак, Верхнеяркеево АС;Верхнеяркеево АС, Кызыл-Байрак, Игметово, Абдуллино, Игметово, Верхнеманчарово, Бишкураево, Илякшиде, Бишкураево, Семилетка
П 105 Уфа (К.Рынок) - В. Изяк;Колхозный рынок, Северный автовокзал, Парниковое хозяйство, Парниковое хозяйство, Железобетонный завод №1, Железобетонный завод №1, Сад №3, Сад №3, Керамика, Щепное, поворот Красный пахарь, Сад №4, Ильина Поляна, Турушлы, Успенка, Верхний Изяк;Верхний Изяк, Успенка, Турушлы, Ильина Поляна, Сад №4, поворот Красный пахарь, Щепное, Керамика, Сад №3, Сад №3, Железобетонный завод №1, Железобетонный завод №1, Парниковое хозяйство, Парниковое хозяйство, Северный автовокзал, Колхозный рынок
П 106 м Нефтекамск - Ст.Янзигит;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Ашит, Миняевка, Новый Янзигит, Старый Янзигит;Старый Янзигит, Новый Янзигит, Миняевка, Ашит, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 106 Нефтекамск - Н. Янзигит;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Ашит, Миняевка, Новый Янзигит;Новый Янзигит, Миняевка, Ашит, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 106 Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Ашит, Миняевка, Новый Янзигит, Старая Мушта, Старый Янзигит;Старый Янзигит, Старая Мушта, Новый Янзигит, Миняевка, Ашит, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ
П 106 Октябрьский - Туймазы;"Октябрьский АВ, Нарышево, ""Киоск """"Весна"""""", ""Магазин """"Луч"""""", Тубанкуль, Туймазы АВ";"Туймазы АВ, Центральный рынок, ""ДК """"Родина"""""", Тубанкуль, ""Киоск """"Вояж"""""", ""Магазин """"Луч"""""", ""Киоск """"Весна"""""", Старые Туймазы, Нарышево, Октябрьский АВ"
П 106 Салават - Сухаревка;Салават АВ, Корнеевка, Даниловка, Корнеевка, Сухаревка;Сухаревка, Корнеевка, Салават АВ
П 106 Стерлитамак - Мебельный;Стерлитамак АВ, Горгаз, ДК Сода, пос. Шахтау, Дом Отдыха, пос. Мебельный;пос. Мебельный, Дом Отдыха, пос. Шахтау, ДК Сода, Горгаз, Стерлитамак АВ
П 107 Баймак - Юлдыбаево;Баймак АВ, Мамбетово, Ишмурзино, Воскресенское, Абдулкаримово, Юлдыбаево;Юлдыбаево, Абдулкаримово, Воскресенское, Ишмурзино, Мамбетово, Баймак АВ
П 107 Дюртюли - Базитамак;Дюртюли АВ, Кушулево, пер. Староболтачево, Исмайлово, Зитембяк, Кужбахты, Старонадырово, Татарский Менеуз, Базитамак;Базитамак, Татарский Менеуз, Старонадырово, Кужбахты, Зитембяк, Исмайлово, пер. Староболтачево, Кушулево, Дюртюли АВ
П 107 Уфа (Южный АВ) - Суровка;"Южный автовокзал, Ул. Ахметова, ""Рынок """"Зареченский"""""", Михайловка, Суровка, Сады";"Сады, Суровка, Михайловка, ""Рынок """"Зареченский"""""", Ул. Ахметова, Южный автовокзал"
П 108 Д Дмитриевка - Уфа;"п. Дмитриевка, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", Автодром, Речная, Зеленая гора, Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Дом печати, ""ТК """"Центральный""""""";"""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал, Зеленая гора, Речная, Автодром, ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, п. Дмитриевка"
П 108 Нефтекамск - Ст. Уразаево - с/о Уразаево;Нефтекамск АВ, С/о Арлан, Ташкиново, Очистные сооружения, Ст. Уразаево, С/о Уразаево;С/о Уразаево, Ст. Уразаево, Очистные сооружения, Ташкиново, С/о Арлан, Нефтекамск АВ
П 108 Туймазы - Нижнезаитово;Туймазы АВ, Райманово, Исмаилово, Какрыбашево, Тукмак-Каран, Аблаево, Бятки, Нижнезаитово;Нижнезаитово, Бятки, Аблаево, Тукмак-Каран, Какрыбашево, Исмаилово, Райманово, Туймазы АВ
П 108 Уфа - Лесхоз;"""ТК """"Центральный"""""", Дом печати, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал, Зеленая гора, Речная, Автодром, ""Гаражный кооператив """"Камышлинский"""""", Ул. Ахметова, Ул. Пожарского, Речное училище, Школа №46, ""Рынок """"Зареченский"""""", Ул. Шмидта, Михайловский поворот, Станция технического осмотра, п. Ягодная поляна";"п. Ягодная поляна, Сады, п. Дмитриевка, Станция технического осмотра, Михайловский поворот, Ул. Шмидта, ""Рынок """"Зареченский"""""", Школа №46, Речное училище, Ул. Пожарского, Ул. Ахметова, ""Гаражный кооператив """"Камышлинский"""""", ""Сады """"Радуга"""""", Автодром, Речная, Зеленая гора, Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, ""ТК """"Центральный"""""""
П 109 Белорецк - Миндяк;Белорецк АВ, Урал-Тау, Казаккулово, поворот Миндяк, Миндяк АС;Миндяк АС, поворот Миндяк, Казаккулово, Урал-Тау, Белорецк АВ
П 109 Стерлитамак - Наумовка;Колхозный рынок АС, 6 совхоз, Наумовка;Наумовка, 6 совхоз, Колхозный рынок АС
П 109 Стерлитамак - Сады Майские;"Колхозный рынок АС, Лесозавод, Питомник, Ашкадар, Сады Ильмень, 6 совхоз, Покровка, Наумовка 1, Наумовка 2, Наумовка, ""Сады """"Майские""""""";"""Сады """"Майские"""""", Наумовка, Наумовка 2, Наумовка 1, Покровка, 6 совхоз, Сады Ильмень, Ашкадар, Питомник, Лесозавод, Колхозный рынок АС"
П 109 Уфа (Южный АВ) - с/х Шемяк;"Южный автовокзал, Школа №46, ""Рынок """"Зареченский"""""", Граница г. Уфа (Затон), Вавилово, Курасково, Сады ФСБ, Николаевка, Нурлино 1, Нурлино 2, Ст. Шемяк, Совхоз Шемяк";"Совхоз Шемяк, Ст. Шемяк, Нурлино 2, Нурлино 1, Николаевка, Сады ФСБ, Курасково, Вавилово, Граница г. Уфа (Затон), ""Рынок """"Зареченский"""""", Школа №46, Южный автовокзал"
П 109 Янаул - Кр. Холм;Янаул АС, Каймаша, Татышлы перекрёсток, Орловка (Петровка) перекрёсток, Атлегач, Ижболдино, Красный Холм перекрёсток, Красный Холм АС;Красный Холм АС, Красный Холм перекрёсток, Ижболдино, Атлегач, Орловка (Петровка) перекрёсток, Татышлы перекрёсток, Каймаша, Янаул АС
П 110 В. Яркеево - Дюртюли;Верхнеяркеево АС, Верхнечерекулево, Телепаново, Зитембяк, Исмайлово, Дюртюли АВ;Дюртюли АВ, Исмайлово, Зитембяк, Телепаново, Верхнечерекулево, Верхнеяркеево АС
П 110 Нефтекамск - Саузбашево;Нефтекамск АВ, Арлан, Н. Уразаево, С/огороды, Ивановка, Саклово, Саузбашево;Саузбашево, Саклово, Ивановка, С/огороды, Н. Уразаево, Арлан, Нефтекамск АВ
П 110 Уфа (АЦ ВАЗ) - Аэропорт;"Уфа - АВТОВАЗ, Ул. Суворова, ДК УМПО, ""Универмаг """"Первомайский"""""", Детская библиотека, Больница №13, Школа №109, Бульвар Славы, Горсовет, Спортивная, Ул. им. города Галле, БГАУ, Дом печати, ""ТК """"Центральный"""""", ""Банк """"Уралсиб"""""", ""Гостиница """"Башкортостан"""""", Гостиный двор, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, Кооперативная поляна, Икеа, Озёрная, ""Кафе """"Отдых"""""", Поселок Чесноковка, Металлобаза, Поворот, Поселок Аэропорт, Аэропорт МГ";"Аэропорт МГ, Поселок Аэропорт, Поворот, Металлобаза, Поселок Чесноковка, ""Кафе """"Отдых"""""", Озёрная, Мелькомбинат, Кооперативная поляна, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Гостиный двор, ""Гостиница """"Башкортостан"""""", ""ТК """"Центральный"""""", Дом печати, БГАУ, Ул. им. города Галле, Спортивная, Горсовет, Бульвар Славы, Школа №109, Больница №13, Детская библиотека, ""Универмаг """"Первомайский"""""", ДК УМПО, Ул. Суворова, Уфа - АВТОВАЗ"
П 110 Я Янаул - Чургулды;Янаул АС, Каймаша, Татышлы перекрёсток, Юссуково, Асавдыбаш, Четырман, Андреевка, Югомаш, Салихово, Пер. Шулган, Кустаревка, Шулганово, Ст. Акбулатово КП, Чургулды;Чургулды, Ст. Акбулатово КП, Шулганово, Кустаревка, Пер. Шулган, Салихово, Югомаш, Андреевка, Четырман, Асавдыбаш, Юссуково, Татышлы перекрёсток, Каймаша, Янаул АС
П 110-2 Стерлитамак - Сады Аэропорт 2;Стерлитамак АВ, Колхозный Рынок, Ашкадар, Веселое, Сады Аэропорт-2;Сады Аэропорт-2, Веселое, Ашкадар, Колхозный Рынок, Стерлитамак АВ
