М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
П 129 к Бузовьязы - Уфа (п. Якутова);"Бузовьязы, Подлубово, Орловка, Бекетово, п. Новобулгаково, Булгаково, Поворот Аэропорт, ""Кафе """"Отдых"""""", Ул. Школьная, Парк им. Ивана Якутова";"Парк им. Ивана Якутова, Ул. Школьная, ""Кафе """"Отдых"""""", Поворот Аэропорт, Булгаково, п. Новобулгаково, Бекетово, Орловка, Подлубово, Бузовьязы"
П 130 Б. Четырман - Мелеуз;Мелеуз АВ, Саитово, Б. Четырман;Б. Четырман, Саитово, Мелеуз АВ
П 130 Русский Юрмаш - Уфа (Южный АВ);"Южный автовокзал, Монумент Дружбы, Пристань №3, Ул. Пугачева, Ул. Армавирская, ""Сады """"Агидель"""""", Населенный пункт Жилино, д. Карпово, Студеный ключ, Поворот Фёдоровка (Исаково), Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), Сады Родничок, ст. Русский Юрмаш, Русский Юрмаш";"Русский Юрмаш, ст. Русский Юрмаш, Сады Родничок, Поворот Фёдоровка (Исаково), Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), Студеный ключ, д. Карпово, Населенный пункт Жилино, ""Сады """"Агидель"""""", Ул. Армавирская, Ул. Пугачева, Пристань №3, Монумент Дружбы, Южный автовокзал"
П 131 Нефтекамск - ст. Мушта;Нефтекамск АВ, Ашит, Новый Янзигит, Старая Мушта;Старая Мушта, Новый Янзигит, Ашит, Нефтекамск АВ
П 132 Белебей - М. Москва;Белебей АВ, Аксаково, Малый Менеуз, Ново-Михайловка, Кош-Елга, Зириклы-Тамак, Менеуз-Москва;Менеуз-Москва, Зириклы-Тамак, Кош-Елга, Ново-Михайловка, Малый Менеуз, Аксаково, Белебей АВ
П 132 Нефтекамск - Карякино;Нефтекамск АВ, Карякино;Карякино, Нефтекамск АВ
П 132 Стерлитамак - Сады Сосновка;Стерлитамак АВ, Колхозный Рынок, 6 совхоз, Заливной, Развилка, СНТ Озерки, СНТ Заря;СНТ Заря, СНТ Озерки, Развилка, Заливной, 6 совхоз, Колхозный Рынок, Стерлитамак АВ
П 132 Уфа (Северный АВ) - Федоровка;Северный автовокзал, Больница №10, Колхозный рынок, Ул. Александра Невского, Ул. Коммунаров, ДК УМПО, Ул. Суворова, Правая Уфимка, Шакша, Развилка, Русский Юрмаш (по трассе), Поворот Фёдоровка (Исаково), Микрорайон «Федоровка»;Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), Сады Родничок, Русский Юрмаш (по трассе), Развилка, Шакша, Правая Уфимка, Ул. Суворова, Ул. Коммунаров, Ул. Александра Невского, Колхозный рынок, Больница №10, Северный автовокзал
П 134 Стерлитамак - Сады Мирный;Кирзавод, Сады (для 34 обратное), Сады (база отдыха Дружба), Сады Урожай, Колхозный рынок АС, Сады Мирный;Сады Мирный, Сады Урожай, Сады (база отдыха Дружба), Сады, Кирзавод, Колхозный рынок АС
П 135 Уфа (Фирма Мир) - сады Демские;"""Фирма """"Мир"""""", Южный автовокзал, Станция технического осмотра, Миловка, Ветошниково, Сады";"Сады, Ветошниково, Миловка, Станция технического осмотра, Южный автовокзал, ""Фирма """"Мир"""""""
П 139 Уфа (Северный АВ) - Тикеево;"Северный автовокзал, Пл. им. Орджоникидзе, Детская библиотека, ""Кинотеатр """"Победа"""""", Досуговый центр, Ул. Свободы, Ул. Кремлевская, ДК УМПО, Шакша, п. Верный (трасса), ""Сады """"Башнефть"""" (трасса)"", перекресток Иглино, Ясная Поляна (трасса), перекрёсток Субакаево, поворот Балтика, Загорск, п. Мира (трасса), Ауструм (трасса), Надеждино (трасса), Тикеево";"Тикеево, Надеждино (трасса), Ауструм (трасса), п. Мира (трасса), Загорск, поворот Балтика, перекрёсток Субакаево, Ясная Поляна (трасса), перекресток Иглино, ""Сады """"Башнефть"""" (трасса)"", п. Верный (трасса), Шакша, ДК УМПО, Ул. Кремлевская, Ул. Свободы, Досуговый центр, ""Кинотеатр """"Победа"""""", Детская библиотека, Ул. Конституции, Северный автовокзал"
П 146 Семилетка - Чекмагуш;Дюртюли АВ, Такарликово, Асяново, Каралачук, Нижнеманчарово, Семилетка, Верхний Аташ, Имянликулево, Новокутово, Чекмагуш АС;Чекмагуш АС, Новокутово, Имянликулево, Верхний Аташ, Семилетка, Нижнеманчарово, Каралачук, Асяново, Такарликово, Дюртюли АВ
П 149 Месягутово - В.Киги;Месягутово АВ, Рухтино, Душанбеково, В.Киги;В.Киги, Душанбеково, Рухтино, Месягутово АВ
П 150 Уфа (Южный АВ) - Балагушево;"Южный автовокзал, Проходная УЗЭМИК, ""ТК """"Центральный"""""", Трансагентство, Ул. Новомостовая, Ул. Школьная, Поворот Аэропорт, Булгаково, Стрельбище, Бекетово, Сабурово, Балагушево";"Балагушево, Сабурово, Бекетово, Стрельбище, Булгаково, Поворот Аэропорт, Ул. Школьная, ""Автоцентр """"Рено"""""", Ул. Айская, Ул. 8-ое Марта, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
