М 225 Мелеуз - Мраково;>;"Бурангулова ул. (Мелеуз), Ленина ул. (Мелеуз), Березовая ул. (Каран), а.д. Р-240 ""Уфа - Оренбург"", а.д. 80К-12 ""Магнитогорск - Ира"", а.д. 80Н-357 ""Худайбердино - Ялчино - Валитово - Юмагузино - Верхнебиккузино"", а.д. Валитово - Волостновка, а.д. 80Н-360 ""Волостновка - а.д. Магнитогорск - Ира"", а.д. 80К-12 ""Магнитогорск - Ира"", Совхозная ул. (Мраково), Биишевой ул. (Мраково)"
М 225 Стерлитамак АВ - Юмагузино;<;"а.д. 80Н-455 ""Старый Калкаш - Куганакбаш"", а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Стерлибашевский тракт, Суханова ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Мира ул. (Стерлитамак), ул. Худайбердина (Стерлитамак)"
М 225 Стерлитамак АВ - Юмагузино;>;"ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Суханова ул. (Стерлитамак), Стерлибашевский тракт, а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", а.д. 80Н-455 ""Старый Калкаш - Куганакбаш"""
М 229 Мелеуз - Федоровка;<;"а.д. 80Н-034 ""Мелеуз - Федоровка"""
М 229 Мелеуз - Федоровка;>;"а.д. 80Н-034 ""Мелеуз - Федоровка"""
М 240 Стерлитамак АВ - Саитбаба;<;"Колхозная ул. (Саитбаба), а.д. 80Н-226 ""Зириково - Саитбаба"", а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-052 ""Стерлитамак - Красноусольский"", Ленина ул. (Косяковка), Бабушкина ул. (г. Стерлитамак), Техническая ул., Техническая ул. (Стерлитамак), Западная ул. (Стерлитамак)"
М 240 Стерлитамак АВ - Саитбаба;>;"Западная ул. (Стерлитамак), Техническая ул. (Стерлитамак), Техническая ул., Бабушкина ул. (г. Стерлитамак), Ленина ул. (Косяковка), а.д. 80Н-052 ""Стерлитамак - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80Н-226 ""Зириково - Саитбаба"", Колхозная ул. (Саитбаба)"
М 242 Мелеуз - В. Биккузино;<;"а.д. 80Н-357 ""Худайбердино - Ялчино - Валитово - Юмагузино - Верхнебиккузино"", а.д. 80Н-046 ""Смаково - Басурмановка - Юмагузино - Воскресенское"", Гиндуллы Исянюлова ул (Малошарипово), а.д. 80Н-046 ""Смаково - Басурмановка - Юмагузино - Воскресенское"", а.д. 80Н-025 ""Ишимбай - Воскресенское - Мелеуз"", Смоленская ул. (Мелеуз), Бурангулова ул. (Мелеуз)"
М 242 Мелеуз - В. Биккузино;>;"Бурангулова ул. (Мелеуз), Смоленская ул. (Мелеуз), а.д. 80Н-025 ""Ишимбай - Воскресенское - Мелеуз"", а.д. 80Н-046 ""Смаково - Басурмановка - Юмагузино - Воскресенское"", Гиндуллы Исянюлова ул (Малошарипово), а.д. 80Н-046 ""Смаково - Басурмановка - Юмагузино - Воскресенское"", а.д. 80Н-357 ""Худайбердино - Ялчино - Валитово - Юмагузино - Верхнебиккузино"""
М 244 Стерлитамак АВ - Тавричанка;<;"а.д. местного значения подъезд к с. Тавричанка, а.д. 80Н-053 ""Стерлитамак - Раевский"", Раевский тракт"
М 244 Стерлитамак АВ - Тавричанка;>;"Раевский тракт, а.д. 80Н-053 ""Стерлитамак - Раевский"", а.д. местного значения подъезд к с. Тавричанка"
М 250 Стерлитамак АВ - Красноармейский;<;"а.д. Красноармейская - Абдрахманово, а.д. Абдрахманово - Первомаское, а.д. 80Н-469 "" Первомайское - а.д. Стерлитамак"", а.д. 80Н-053 ""Стерлитамак - Раевский"", Раевский тракт, ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), ул. Худайбердина (Стерлитамак)"
М 250 Стерлитамак АВ - Красноармейский;>;"ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), ул. Худайбердина (Стерлитамак), Раевский тракт, а.д. 80Н-053 ""Стерлитамак - Раевский"", а.д. 80Н-469 "" Первомайское - а.д. Стерлитамак"", а.д. Абдрахманово - Первомаское, а.д. Красноармейская - Абдрахманово"
