Стерлитамак АВ-сан. Красноусольский;282;1256
Стерлитамак АВ-Стерлибашево АС;149;699
Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;101
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;465
Стерлитамак АВ-Тавричанка;244;2
Стерлитамак АВ-Юмагузино;225;69
Стерлитамак-Белое озеро-Антоновка;145;32
Стерлитамак-Красноусольск АС;282;414
Туймазы - НижнеЗаитово;108;2504
Туймазы - Уфа;590;1745
Туймазы - Уфа через Кандры;595;814
Туймазы - Якшаево;1;593
Туймазы- Октябрьский- Серафимовский;2;5273
Уфа - Агидель;586;1435
Уфа - Акъяр;578;810
Уфа - Александровка;154;434
Уфа - Архангельское ч/з Булгаково;582;766
Уфа - Архангельское ч/з Кабаково;604;516
Уфа - Аскино ч/з Благовещенск;567;1126
Уфа - Аскино ч/з Зап. развилку;567;460
Уфа - Балагушево;150;153
Уфа - Белебей;530;526
Уфа - Бирск ч/з Благовещенск;534;631
Уфа - Бураево ч/з Зап. развилку;594;210
Уфа - В. Татышлы;547;1400
Уфа - Валентиновка;592;489
Уфа - Кандры;737;232
Уфа - Караидель ч/з Благовещенск;577;2094
Уфа - Караидель ч/з Зап. развилку;577;1098
Уфа - Кумертау;591;1471
Уфа - Кумлекулево;113;3187
Уфа - Кушнаренково;258;10779
Уфа - Лесхоз;108;17620
Уфа - Мишкино ч/з Зап. развилку;557;712
Уфа - Мраково;601;466
Уфа - Нефтекамск б/з в Дюртюли;588;134
Уфа - Октябрьский через Серафимовку;600 С;214
Уфа - Октябрьский через Туймазы;600 Т;2036
Уфа - Сибай;798;1752
Уфа - Учалы;593;478
Уфа - Федоровка;571;673
Уфа - Янаул;584;819
Уфа - Янаул ч/з зап. Развилку;584;2741
Уфа - Янаул ч/з Кр. Холм;584;110
Уфа (Северный автовокзал)- Тикеево;139;1633
Уфа (ул. Дзержинского) - Аэропорт;101;49042
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;3220
Уфа (Южный автовокзал) - сан. Алкино;127;315
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;4070
Уфа (Южный автовокзал) - Шипово;124;3933
Уфа (Южный автовокзал)-Енгалышево;142;5814
Уфа -Стерлитамак;531;582
Уфа Южный АВ - Мусино;120;7298
Уфа Южный АВ - Первушино;117 к;940
Учалы - Стерлитамак;828;578
Федоровка АС- Салават АВ;500;1646
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;1136
Чекмагуш-Дюртюли;202;2205
Чишмы-Уфа;151;2857
Шаран - Уфа ч/з Чекмагуш;809;992
Шаран-Туймазы;119;9896
Янаул - Бирск;770;131
Янаул - Октябрьский;744;1266
Янаул - Чургулды;110 Я;604
Янаул-Калтасы;102;492
Янаул-Кармановская ГРЭС;118;798
Янаул-Кр. Холм;109;606
"Салават Автовокзал-Сады ""Сухайла""";116;1084
"Уфа - Сады ""Бачурино""";113 к;79
"Уфа - Сады ""Каряка""";156;590
"Уфа южный АВ - Сады ""Юматово""";114;116
Белебей - Стерлитамак через Киргиз Мияки;800К;300
Белорецк - Учалы;805;268
Бирск-Каргино;123;172
Благовещенск-Уфа (Гимназия им.Гарипова);104с;1328
Дюртюли - Нефтекамск;674;17
Зилаир - Сибай ч/з Юлдыбаево;792;87
Калтасы - Уфа;564;58
Кумертау-Тимербаево;109;22
Мелеуз-В.Биккузино;242;216
Нефтекамск-Калегино;121;170
Нефтекамск-Н. Березовка;101;71384
Нефтекамск-Н. Буртюк;105;17
сан. Красноусольск - Салават;698;34
Сибай- Старый Сибай;11;21256
Стерлитамак - Утяково;154;50
Стерлитамак АВ-Наумкино - Толбазы АС;510;9
Стерлитамак АВ-Стерлибашево АС - Булаж;185;61
Уфа - Сады УАИ;120 к;7
Уфа - Салават через Ишимбай;551И;142
Уфа - Суровка;107;1584
Уфа - Фомичево;157;1
Уфа (К.Рынок)-В.Изяк;105;319
Уфа (К.Рынок)-Иглино;165;4147
Уфа (К.Рынок)-Ст.Черкассы;111;2501
Уфа (Северный автовокзал)-Федоровка;132;119
Уфа (фирма МИР) - Кармасан;111;570
Уфа (Южный автовокзал) - Нижегородка;164;2812
Уфа (Южный автовокзал) - Таптыково;164 Т;3017
Уфа (Южный автовокзал) - Федоровка;125;296
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;14400
Уфа южный АВ - Бузовьязы;129;109
