Стерлитамак АВ-сан. Красноусольский;282;792
Стерлитамак АВ-Стерлибашево АС;149;389
Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;51
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;244
Стерлитамак АВ-Тавричанка;244;2
Стерлитамак АВ-Юмагузино;225;26
Стерлитамак-Белое озеро-Антоновка;145;20
Стерлитамак-Красноусольск АС;282;274
Туймазы - НижнеЗаитово;108;1373
Туймазы - Уфа;590;950
Туймазы - Уфа через Кандры;595;460
Туймазы - Якшаево;1;324
Туймазы- Октябрьский- Серафимовский;2;2724
Уфа - Агидель;586;796
Уфа - Акъяр;578;433
Уфа - Александровка;154;434
Уфа - Архангельское ч/з Булгаково;582;231
Уфа - Архангельское ч/з Кабаково;604;153
Уфа - Аскино ч/з Благовещенск;567;608
Уфа - Аскино ч/з Зап. развилку;567;270
Уфа - Балагушево;150;153
Уфа - Белебей;530;282
Уфа - Бирск ч/з Благовещенск;534;370
Уфа - Бураево ч/з Зап. развилку;594;159
Уфа - В. Татышлы;547;773
Уфа - Валентиновка;592;269
Уфа - Кандры;737;117
Уфа - Караидель ч/з Благовещенск;577;1150
Уфа - Караидель ч/з Зап. развилку;577;646
Уфа - Кумертау;591;900
Уфа - Кумлекулево;113;2790
Уфа - Кушнаренково;258;5861
Уфа - Лесхоз;108;10143
Уфа - Мишкино ч/з Зап. развилку;557;315
Уфа - Мраково;601;233
Уфа - Нефтекамск б/з в Дюртюли;588;76
Уфа - Октябрьский через Серафимовку;600 С;123
Уфа - Октябрьский через Туймазы;600 Т;1162
Уфа - Сибай;798;1029
Уфа - Учалы;593;283
Уфа - Федоровка;571;348
Уфа - Янаул;584;493
Уфа - Янаул ч/з зап. Развилку;584;1594
Уфа - Янаул ч/з Кр. Холм;584;61
Уфа (Северный автовокзал)- Тикеево;139;1633
Уфа (ул. Дзержинского) - Аэропорт;101;31677
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;1550
Уфа (Южный автовокзал) - сан. Алкино;127;138
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;2042
Уфа (Южный автовокзал) - Шипово;124;2635
Уфа (Южный автовокзал)-Енгалышево;142;5087
Уфа -Стерлитамак;531;331
Уфа Южный АВ - Мусино;120;7126
Уфа Южный АВ - Первушино;117 к;940
Учалы - Стерлитамак;828;273
Федоровка АС- Салават АВ;500;1086
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;628
Чекмагуш-Дюртюли;202;1073
Чишмы-Уфа;151;1880
Шаран - Уфа ч/з Чекмагуш;809;560
Шаран-Туймазы;119;5164
Янаул - Бирск;770;93
Янаул - Октябрьский;744;755
Янаул - Чургулды;110 Я;342
Янаул-Калтасы;102;271
Янаул-Кармановская ГРЭС;118;256
Янаул-Кр. Холм;109;322
"Салават Автовокзал-Сады ""Сухайла""";116;1084
"Уфа - Сады ""Бачурино""";113 к;79
"Уфа - Сады ""Каряка""";156;590
"Уфа южный АВ - Сады ""Юматово""";114;116
Бирск-Каргино;123;97
Благовещенск-Уфа (Гимназия им.Гарипова);104с;825
Мелеуз-В.Биккузино;242;104
Нефтекамск-Калегино;121;97
Нефтекамск-Н. Березовка;101;36416
Нефтекамск-Н. Буртюк;105;4
сан. Красноусольск - Салават;698;9
Сибай- Старый Сибай;11;10028
Стерлитамак АВ-Наумкино - Толбазы АС;510;3
Стерлитамак АВ-Стерлибашево АС - Булаж;185;29
Уфа - Сады УАИ;120 к;7
Уфа - Салават через Ишимбай;551И;83
Уфа - Суровка;107;1584
Уфа - Фомичево;157;1
Уфа (К.Рынок)-В.Изяк;105;86
Уфа (К.Рынок)-Ст.Черкассы;111;1190
Уфа (Северный автовокзал)-Федоровка;132;119
Уфа (фирма МИР) - Кармасан;111;570
Уфа (Южный автовокзал) - Нижегородка;164;1221
Уфа (Южный автовокзал) - Таптыково;164 Т;1550
Уфа (Южный автовокзал) - Федоровка;125;296
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;9336
Уфа южный АВ - Бузовьязы;129;29
