Зилаир - Сибай ч/з Юлдыбаево;792;582
Кабаково - Уфа (п.Якутова);121 к;17987
Калтасы - Уфа;564;377
Кармаскалы- Уфа (Южный автовокзал);253 к;9647
Кармаскалы-Уфа (Южный автовокзал);253 соц;1873
Красноусольск - Уфа;552;2
Кумертау-Тимербаево;109;166
Мелеуз-В.Биккузино;242;1901
Нефтекамск-Калегино;121;1456
Нефтекамск-Н. Березовка;101;376872
Нефтекамск-Н. Буртюк;105;194
Нефтекамск-Ст. Буртюк;105а;44628
Нордовка-Салават;123 ф;3447
сан. Красноусольск - Салават;698;295
Сибай- Старый Сибай;11;117728
Стерлитамак - Стерлибашево ч/з Кабакуш;NULL;144
Стерлитамак - Утяково;154;342
Стерлитамак АВ-Наумкино - Толбазы АС;510;54
Стерлитамак АВ-пос. Красноусольский;282;21
Стерлитамак АВ-Стерлибашево АС - Булаж;185;445
Уфа - Сады УАИ;120 к;128
Уфа - Салават через Ишимбай;551И;1153
Уфа - Суровка;107;11064
Уфа - Фомичево;157;848
Уфа (К.Рынок)-В.Изяк;105;1896
Уфа (К.Рынок)-Иглино;165;45534
Уфа (К.Рынок)-Ст.Черкассы;111;15506
Уфа (Северный автовокзал)-Федоровка;132;815
Уфа (Уфимский Док)-Аэропорт;110 с;380764
Уфа (фирма МИР) - Кармасан;111;4052
Уфа (Южный автовокзал) - Нижегородка;164;15727
Уфа (Южный автовокзал) - Таптыково;164 Т;16190
Уфа (Южный автовокзал) - Федоровка;125;1808
Уфа (Южный автовокзал)-Тимкино;121 соц;1896
Уфа АЦ ВАЗ-Аэропорт;110;319445
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;59442
Уфа южный АВ - Бузовьязы;129;974
Янаул - Бураево;570к;1263
